AT THE POSTAL AND TELEGRAPH OFFICES EN LA OFICINA DE CORREOS Y TELEGRAFOS
English—Ingles	Spanish—Español	Phonetical Pronunciation—Spanish	Pronunciación fonética-inglés
My name is—	Mi nombre es—.	Mee nohm-breh ehs—.	Mai neim is—.
1 wish to register this letter.	- ^r. . . Deh-seh-oh sehr-tee-fee-kahr Deseo certificar esta carta. , .—r~. , , . 	 ehs-tah kahr-tah.		Ai güish tu re-chis-ter dis le-ter.
The postcard.	La tarjeta postal.	Lah tahr-heh-tah pohs-tahl.	Di pos-card.
The envelope.	El sobre.	Ehl soh-breh.	Di en-ve-lop.
The pen.	La pluma.	Lah ploo-mah.	Di pen.
The pencil.	El lápiz.	Ehl lah-peehs.	Di pen-sil.
The ink.	La tinta.	Lah teehn-tah.	Di ink.
The mail box.	El buzón.	Ehl boo-sohn.	Di meil box.
The postage.	El franqueo.	Ehl frahn-keh-oh.	Di post-eich.
10	Rafes for airmail in	South America is in units of 5 grams.	
