English—Ingles	Spanish — Español	Phonetical Pronunciation—Spanish	Pronunciación lone'tica—Ingle's
My name is—	Mi nombre es—	Mee nohm'-bray ayss—	Mai neim is—
I wish to register this letter.	Quiero certificar esta carta.	Kee-ay'-roh sayr-tee-fee-kahr' es'-tah kahr'-tah.	Ai uisch tu re'-yes-ter ofiss let'-ter.
Postcard.	La tarjeta postal.	Lah tahr-hay'-tah pohss-tahl'.	Post'-card.
Envelope.	El sobre.	Ell soh'-bray.	An'-vel-op.
Pen.	La pluma.	Lah ploo'-mah.	Pen.
Pencil.	El lápiz.	Ell lah'-peez.	Pen'-s/l.
Ink.	La tinta.	Lah teen'-tah.	Inc.
Mail box.	El buzón.	Ell boo-zohn'.	Meil bacs.
The postage.	El porte.	Ell pohr'-tay.	Di post'-ey.
	Rate for air mail in South America is in units of 5 grams.		
10
